costs_miMo,costs_original
25.48652288303838,20.70774868720621
25.403228369302408,40.781289740463095
29.216865361393204,43.9265105399353
23.678438650159272,18.62911457165642
25.338710141909697,19.96029368372801
215.22188862313305,271.66065103310916
55.910623225658604,37.90746646524078
58.310838095625904,59.80014943862818
61.2625391731924,44.93139368407453
32.913298609659684,32.16245979877022
229.5645243130905,284.1568678425036
44.863686681383705,70.93202577871095
60.98639923060003,48.36322080861075
55.7718828607583,81.33103513539658
66.81161210904563,61.770865986297764
89.8698850588795,66.07021691597164
47.953599260084566,56.70128880592967
35.18072241361385,34.34757352605287
38.496731230310424,25.292067251203658
54.88712267164515,35.05751818841313
40.30877748029949,26.037534776154885
39.673605720446055,30.58765985560973
53.27318913225149,54.268945093843584
31.107551349936813,28.067127364396747
34.667477266935144,25.272292473108205
43.98287672778436,32.19373019395827
37.6288899167015,42.82484322028817
41.8631253914377,69.99474450853221
60.11339054213869,114.34804154351707
43.2033692498295,26.876295958147672
33.97185335311048,26.67154981140996
67.9295748911111,74.37140738384414
56.43792991901137,48.47550349537843
48.02679140415254,32.56577180829284
26.585127543196126,41.49794142508395
37.63668499437985,42.606993274578016
54.656128199871276,67.96744526446548
54.16228168011756,53.18412968653844
83.68483876150479,105.25639172423409
44.3259904024995,45.549190042077086
32.04396684410906,32.71160375492264
35.12267756726844,30.436532176691454
39.437927388537084,64.87623425136287
64.8411832258361,35.86326635487814
48.178373283443634,54.59786968903502
30.41109449329085,43.78790729250029
41.91013066508062,44.929389303909
29.64503347764397,28.90244545050375
23.473643359259913,21.51728530233975
20.91437110317191,15.249526564571577
28.23138667359236,22.68491289131601
45.7395454008325,60.161256267734785
76.12235768190189,133.78061067770227
57.313432227984244,73.57849147235353
54.17411813923008,56.944463109773594
19.411514987878135,17.71577976740374
11.312942884314376,8.417197007683802
52.44356590826985,33.91064325884623
53.82384805740652,37.45776127534573
28.641929758775834,24.271553249510042
22.44075453612985,17.736947691615097
47.207409979428164,32.26981269314257
33.91986433065267,29.003928543875
64.25730017424121,53.953932912345444
20.980902690389964,17.141046773227
145.3786572743985,107.24073380474007
57.90507437145837,73.23349208078541
38.30889954135972,31.70563246591725
38.15455180095515,34.01856144659072
29.5667808960309,25.327720422772728
46.04292479306417,49.23603560423532
85.93401689096869,59.34434642836357
58.012571889851465,74.1322783005832
24.112511388230267,20.74388953537578
52.34422218677058,34.032342303814424
27.717370453170712,72.5097018810278
45.73648062496967,27.73900066716302
46.31353132950129,50.95955072063272
22.585548856229288,24.210227005034223
39.35856131431727,33.04713396507758
73.76981939463367,45.074859012222475
53.54568338081026,107.84367307492032
60.30720583678512,64.19575757787808
45.5474173146862,40.24280152693358
17.78986103219356,17.619732565261906
47.27074497538659,60.07884141732246
40.230988361202876,35.48369568298326
20.093301757914745,17.020888504551237
66.6357390131909,49.705836506800885
55.651764918245114,29.07555924538347
14.714656366976426,11.049807899486993
13.03113048881978,12.220090355133388
12.774450605371051,10.718404475991294
24.32821291906184,18.938430950252897
44.270606800607275,30.068542427245394
62.6541645704895,36.368085958676126
26.194772139231322,25.14680186535421
30.57624740562356,32.28227516896428
14.747480803388116,13.416891071644764
22.620137305379263,25.518978254638938
15.852869015477909,16.0507045461702
49.53194589992298,28.046391116941003
67.0232739933628,41.599916503031736
52.16721919466386,39.792196983169944
48.83155408915377,35.17299809468429
28.64370959140762,25.397303663511707
40.092304159046485,48.26906818557398
22.797507609321414,26.54077710930833
18.733293024256582,26.801087972695996
15.80434354927877,18.999144183095215
77.74976592975086,210.07094394843105
40.51352464431232,73.797692437654
55.85152071238615,32.39066041968491
68.95635705435458,44.4161240373249
81.7037644057945,57.76230987687477
117.90645362784669,76.2402308601253
75.69393544283436,77.4033352920019
39.68070941329936,41.20966187701627
50.10803660525281,39.04673426958806
26.797006375332476,23.19577111884099
39.298658897895464,31.073762633900508
88.34700310543066,70.22250092711919
42.53970802774891,37.969663102844756
39.3524932164108,110.76342870453395
120.70564375274851,92.1239553170621
76.09928420927793,43.50509730848505
103.51208020681077,86.72024418572273
180.04946083914956,132.13458847835253
53.83445164167826,50.35093491150564
49.5596915872064,44.925840613435355
113.28680300925936,98.09998168259372
48.548020615178444,53.158889565924135
53.54175636034133,47.69860262523977
29.7053724363433,21.20744820561744
34.324197911900896,46.63962216124081
38.46819837198348,52.24338875031855
26.838081567600177,44.205888030031865
39.04627069812997,53.706891750358174
48.19986818861712,115.32453208555398
51.64715459294046,31.250162886003896
53.97138136428193,51.141989637152676
69.57335250460194,51.197444133326584
14.590983383824069,15.686024656777743
31.950661092805053,45.29859679856773
40.318192742512714,69.00394942795633
37.734867681051085,47.94460722084047
35.420096144714904,82.72446265608075
37.201490082405215,46.61237839329405
